"field","value"
"schema_version","sab_system_a_reference_patient_banks_v1"
"bank_role","defensive_reference"
"endpoint_id","defensive_reference"
"axis","reference"
"parameter",NA
"stage","reference"
"kind","equal_defensive_mixture"
"sign","0"
"step","0"
"pilot_gate_passed","TRUE"
"diagnostic_fallback","FALSE"
"patient_id","74"
"array_task_index","6"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_anchor_121943/canonical_anchor.rds"
"anchor_sha256","1fc290028933add735294ef45ab74808aced7887be8dbe1fe6e3e7281708fa1a"
"chains","4"
"warmup","1000"
"draws_per_chain","1000"
"thin","1"
"base_seed","710003"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","c0b5ff685a42e8edc6f33868ce7fff96b858d03a46ae951a94f0a50689676f59"
"summary_sha256","ab1d7f1608cdc99a0c2602f3da812f0364a2174ff5e681bda6ecb16364c0e067"
