"field","value"
"schema_version","sab_system_a_pure_reference_patient_banks_v1"
"bank_role","pure_saem_reference"
"endpoint_id","pure_saem_reference"
"axis","reference"
"parameter",NA
"stage","reference"
"kind","population"
"sign","0"
"step","0"
"pilot_gate_passed","TRUE"
"diagnostic_fallback","FALSE"
"patient_id","3"
"array_task_index","0"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_pure_anchor_seed8_20260904a/canonical_anchor.rds"
"anchor_sha256","ce601409d84bfe5492667e64e688b8a81b34947b8f5372be6767ff2d117130ec"
"chains","4"
"warmup","250"
"draws_per_chain","500"
"thin","1"
"base_seed","840003"
"prediction_call_cap","3072"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","f4e77e1b581217e7e78e1b376e7be8d9d799163cba7ece09b746a0e503ffbd3a"
"summary_sha256","25a9457eb150944925402149123a942a52582712676d377f8070af9a9649a299"
