"field","value"
"schema_version","sab_system_a_pure_reference_patient_banks_v1"
"bank_role","pure_saem_reference"
"endpoint_id","pure_saem_reference"
"axis","reference"
"parameter",NA
"stage","reference"
"kind","population"
"sign","0"
"step","0"
"pilot_gate_passed","TRUE"
"diagnostic_fallback","FALSE"
"patient_id","117"
"array_task_index","10"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_pure_anchor_seed8_20260904a/canonical_anchor.rds"
"anchor_sha256","ce601409d84bfe5492667e64e688b8a81b34947b8f5372be6767ff2d117130ec"
"chains","4"
"warmup","250"
"draws_per_chain","500"
"thin","1"
"base_seed","840003"
"prediction_call_cap","3072"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","2a13971b70860781fc02111d6b0799c270c1e7f3201928728dde291328b6573c"
"summary_sha256","ecf3427991868803e4cad2879631bd1311c3f972069c814c19770773225bf8e4"
