"field","value"
"schema_version","sab_system_a_pure_reference_patient_banks_v1"
"bank_role","pure_saem_reference"
"endpoint_id","pure_saem_reference"
"axis","reference"
"parameter",NA
"stage","reference"
"kind","population"
"sign","0"
"step","0"
"pilot_gate_passed","TRUE"
"diagnostic_fallback","FALSE"
"patient_id","111"
"array_task_index","9"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_pure_anchor_seed29_20260904a/canonical_anchor.rds"
"anchor_sha256","19630a7f11f7508a53939e94a89f12e76f91360bb5cac0e3291722a4cc3c559d"
"chains","4"
"warmup","250"
"draws_per_chain","500"
"thin","1"
"base_seed","2940003"
"prediction_call_cap","3072"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","e6937c9959f8278a12283caf0e46e430157de63242e4fb0db3ae55a8bc353172"
"summary_sha256","da30e072dfff4f6f963768b02f3766422471ac2bbd2164b0994882ef13ca721b"
