"field","value"
"schema_version","sab_system_a_endpoint_patient_banks_v1"
"bank_role","candidate_endpoint"
"endpoint_id","saem_component"
"axis","reference_component"
"parameter",NA
"stage","core_component"
"kind","population_component"
"sign","0"
"step","0"
"pilot_gate_passed","FALSE"
"diagnostic_fallback","TRUE"
"patient_id","117"
"array_task_index","10"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_anchor_121943/canonical_anchor.rds"
"anchor_sha256","1fc290028933add735294ef45ab74808aced7887be8dbe1fe6e3e7281708fa1a"
"chains","4"
"warmup","1000"
"draws_per_chain","1000"
"thin","1"
"base_seed","710003"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","bf4ef16b15b641c327948d070fce8eca5ff1e882c285a810a539cffd7bfb8e01"
"summary_sha256","135cadd1996a297bc589519b8b02e3d1a03a9fcd0f0accf7a3b50b1a32b9f118"
