"field","value"
"schema_version","sab_system_a_pure_reference_patient_banks_v1"
"bank_role","pure_saem_reference"
"endpoint_id","pure_saem_reference"
"axis","reference"
"parameter",NA
"stage","reference"
"kind","population"
"sign","0"
"step","0"
"pilot_gate_passed","TRUE"
"diagnostic_fallback","FALSE"
"patient_id","55"
"array_task_index","4"
"target_fingerprint","123fc00a2c0151215f9c550613819d4563a02c5bbe789eee5f2aee2c20844925"
"numerical_target","sealed_deSolve_VODE_BDF"
"anchor_path","/ceph/volumes/homes_rstudent/reub0840/f341ced6-637f-43b2-a7a8-b9e1a63a82f0/projects/saem_anchored_bayes/outputs/system_a_pure_anchor_seed8_20260904a/canonical_anchor.rds"
"anchor_sha256","ce601409d84bfe5492667e64e688b8a81b34947b8f5372be6767ff2d117130ec"
"chains","4"
"warmup","250"
"draws_per_chain","500"
"thin","1"
"base_seed","840003"
"prediction_call_cap","3072"
"saem_k1","300"
"saem_k2","100"
"saem_audit_status","completed"
"saem_start_exact_passed","TRUE"
"saem_start_rejection_reason",NA
"rds_sha256","70829ccdfb261eab8449a9386f6e696eb6103630c0bb504591617aacfb7044a6"
"summary_sha256","32ad3dc1f24a334f5772b66d1e27e26a68b37c22d2201f088c98c47f1d44e825"
